,time,type,size,price,direction
2019-12-16 12:52:00,46373.802464686,1,100,5697300,1
2019-12-16 12:53:00,46438.79860323099,1,100,5698700,1
2019-12-16 12:54:00,46499.797067597996,3,100,5694200,1
2019-12-16 12:55:00,46559.382894600996,1,8,5700000,-1
2019-12-16 12:56:00,46619.95399787,1,100,5692500,1
2019-12-16 12:57:00,46679.736699154004,3,10,5692200,1
2019-12-16 12:58:00,46738.223432575,1,100,5697400,-1
2019-12-16 12:59:00,46797.528559352,1,100,5693400,1
2019-12-16 13:00:00,46858.768588160994,1,3,5695800,-1
2019-12-16 13:01:00,46918.34463561,1,4,5689800,1
2019-12-16 13:02:00,46979.845727358,1,11,5691100,1
2019-12-16 13:03:00,47039.63554872,1,10,5691500,1
2019-12-16 13:04:00,47092.356309651,1,1,5694400,1
2019-12-16 13:05:00,47159.989775365,1,8,5692200,1
2019-12-16 13:06:00,47218.708008912,1,100,5692900,1
2019-12-16 13:07:00,47279.501339657,1,100,5692700,1
2019-12-16 13:08:00,47339.671632449004,3,9,5700000,-1
2019-12-16 13:09:00,47397.850924295,1,100,5696200,-1
2019-12-16 13:10:00,47458.207715323,1,100,5697900,-1
2019-12-16 13:11:00,47519.931101307004,3,10,5693100,-1
2019-12-16 13:12:00,47578.802450338,3,100,5694100,-1
2019-12-16 13:13:00,47639.932591123,1,400,5688800,1
2019-12-16 13:14:00,47699.48644406901,3,1,5688500,1
2019-12-16 13:15:00,47759.283935809006,3,100,5692800,-1
2019-12-16 13:16:00,47819.490083807,1,100,5694400,-1
2019-12-16 13:17:00,47879.349971430995,3,100,5693000,-1
2019-12-16 13:18:00,47939.500662063,1,10,5686000,1
2019-12-16 13:19:00,47999.938356057,1,1,5686000,1
2019-12-16 13:20:00,48059.953338142004,3,100,5687900,-1
2019-12-16 13:21:00,48119.847205036,1,100,5683200,1
2019-12-16 13:22:00,48179.709124757,1,100,5689700,1
2019-12-16 13:23:00,48238.016828219006,3,11,5687500,1
2019-12-16 13:24:00,48298.626912764004,3,100,5689100,-1
2019-12-16 13:25:00,48359.311595794,1,12,5688300,-1
2019-12-16 13:26:00,48417.40329812901,1,100,5687000,-1
2019-12-16 13:27:00,48477.385215076,1,100,5683900,-1
2019-12-16 13:28:00,48539.411441455,1,11,5685000,-1
2019-12-16 13:29:00,48596.136886098,3,100,5682100,1
2019-12-16 13:30:00,48659.145113755,3,10,5683800,1
2019-12-16 13:31:00,48715.802789511,1,25,5682800,1
2019-12-16 13:32:00,48775.684333997,3,8,5683600,1
2019-12-16 13:33:00,48839.402747046,1,100,5689400,-1
2019-12-16 13:34:00,48899.702180407,3,100,5687400,-1
2019-12-16 13:35:00,48959.918577859,1,100,5689500,-1
2019-12-16 13:36:00,49018.064647982996,1,8,5680900,1
2019-12-16 13:37:00,49078.645876915,1,5,5683600,-1
2019-12-16 13:38:00,49139.302951782,1,100,5679500,1
2019-12-16 13:39:00,49199.086529283,1,5,5682300,-1
2019-12-16 13:40:00,49259.86024491,3,100,5683300,-1
2019-12-16 13:41:00,49319.791902307,3,100,5673800,1
2019-12-16 13:42:00,49379.463927706,1,200,5679300,1
2019-12-16 13:43:00,49439.790616628,1,9,5683300,-1
2019-12-16 13:44:00,49499.703609554,1,100,5675000,1
2019-12-16 13:45:00,49558.803132957,1,100,5680800,1
2019-12-16 13:46:00,49614.944029565,3,500,5677900,1
2019-12-16 13:47:00,49679.835950024004,1,10,5675400,1
2019-12-16 13:48:00,49739.185148344004,1,10,5680900,-1
2019-12-16 13:49:00,49798.49932104,1,50,5677400,1
2019-12-16 13:50:00,49859.00976397099,1,100,5679300,-1
2019-12-16 13:51:00,49919.324750545995,1,100,5676800,1
2019-12-16 13:52:00,49979.24318162,1,100,5677100,1
2019-12-16 13:53:00,50039.09164541,3,100,5679600,1
2019-12-16 13:54:00,50099.128419335,1,10,5684000,-1
2019-12-16 13:55:00,50156.033862375996,1,2,5680100,1
2019-12-16 13:56:00,50218.688760325,3,11,5688100,-1
2019-12-16 13:57:00,50279.150769454005,3,10,5687500,-1
2019-12-16 13:58:00,50339.92402454901,1,10,5685900,-1
