,time,type,size,price,direction
2019-12-06 12:20:00,44459.781066899006,1,70,11216000,1
2019-12-06 12:21:00,44519.340122513,3,100,11235500,-1
2019-12-06 12:22:00,44576.014281527,1,100,11219800,1
2019-12-06 12:23:00,44639.879191443,1,80,11223000,1
2019-12-06 12:24:00,44699.98138143,3,15,11235700,-1
2019-12-06 12:25:00,44759.404502025995,1,20,11220200,1
2019-12-06 12:26:00,44819.981437572,1,26,11220600,1
2019-12-06 12:27:00,44879.458515122,1,97,11236500,-1
2019-12-06 12:28:00,44939.933620295,1,51,11241600,-1
2019-12-06 12:29:00,44999.30798139,1,20,11228300,1
2019-12-06 12:30:00,45059.68448051599,1,20,11228900,1
2019-12-06 12:31:00,45119.237035349004,3,50,11243600,-1
2019-12-06 12:32:00,45179.91169208,1,100,11252100,-1
2019-12-06 12:33:00,45239.181638887996,1,100,11234500,1
2019-12-06 12:34:00,45299.860925106,3,5,11247100,-1
2019-12-06 12:35:00,45359.235854625,1,80,11235000,1
2019-12-06 12:36:00,45419.899139359004,1,100,11240100,-1
2019-12-06 12:37:00,45479.30755369,1,20,11229300,1
2019-12-06 12:38:00,45539.884389062005,1,22,11241000,-1
2019-12-06 12:39:00,45597.509405772995,1,90,11227000,1
2019-12-06 12:40:00,45659.953466232,1,2,11234200,-1
2019-12-06 12:41:00,45719.391779957004,1,25,11234100,-1
2019-12-06 12:42:00,45779.133580680995,1,1,11221900,1
2019-12-06 12:43:00,45839.633499867,1,99,11237600,-1
2019-12-06 12:44:00,45899.626975874,1,22,11223400,1
2019-12-06 12:45:00,45959.986823543,1,100,11230500,1
2019-12-06 12:46:00,46019.752846760995,1,4,11244800,-1
2019-12-06 12:47:00,46079.689422878,3,100,11232300,1
2019-12-06 12:48:00,46139.589059023,1,99,11243200,-1
2019-12-06 12:49:00,46199.933535962,1,120,11249600,-1
2019-12-06 12:50:00,46258.778015234006,1,20,11232200,1
2019-12-06 12:51:00,46319.990195353,1,50,11240400,-1
2019-12-06 12:52:00,46379.955809319006,1,25,11236900,-1
2019-12-06 12:53:00,46438.657384532,1,120,11223800,1
2019-12-06 12:54:00,46499.983625345,3,3,11229200,1
2019-12-06 12:55:00,46559.58122978,1,20,11229000,1
2019-12-06 12:56:00,46619.886096515,1,35,11241100,-1
2019-12-06 12:57:00,46678.316707044,1,100,11233400,1
2019-12-06 12:58:00,46739.865848302004,1,21,11225000,1
2019-12-06 12:59:00,46799.53897203,1,20,11241400,-1
2019-12-06 13:00:00,46859.982854951,3,1,11233300,1
